member_0,member_1,member_2,member_3,member_4
1,2,2,1,7
1,3,2,5,5
0,4,5,5,0
0,2,5,1,3
0,3,5,5,7
1,2,2,1,7
0,2,5,1,3
0,0,5,1,0
0,6,5,4,3
0,4,5,5,0
1,2,2,1,7
0,7,5,1,0
0,1,5,0,1
0,5,5,5,0
1,3,2,1,0
0,3,5,5,6
1,3,2,1,7
0,0,5,1,3
0,1,5,0,1
0,2,5,1,0
1,3,2,1,5
0,1,5,1,1
1,3,2,1,5
1,7,2,5,6
0,1,5,1,3
1,3,2,5,5
0,0,5,0,0
1,2,2,1,7
1,3,2,5,7
0,3,5,5,5
0,2,5,1,0
1,2,2,1,7
1,2,2,1,7
0,3,5,1,0
0,1,5,1,1
0,2,5,1,1
1,2,2,1,7
1,3,2,1,6
0,0,5,1,0
0,3,5,5,4
1,7,2,5,6
1,7,2,5,7
0,2,5,1,1
0,0,5,0,0
0,7,5,1,2
1,3,2,1,5
1,2,2,1,7
0,3,5,5,7
1,2,2,1,7
0,0,5,5,7
0,3,5,5,7
0,1,5,1,1
0,2,5,1,1
0,7,5,1,0
0,3,5,5,7
0,0,5,5,7
0,0,5,5,7
0,6,5,5,0
0,7,5,5,0
0,0,5,1,0
1,3,2,5,4
1,3,2,1,6
0,3,5,1,0
0,3,5,5,7
0,1,5,1,0
1,3,2,5,4
0,2,5,1,1
0,2,5,1,3
1,2,2,1,7
1,3,2,5,4
0,3,5,5,7
0,3,5,5,5
1,3,2,5,7
1,3,2,1,7
1,3,2,1,6
1,7,2,5,5
0,3,5,5,7
1,2,2,1,7
2,3,2,2,4
0,3,5,5,7
0,2,5,1,1
0,1,5,1,0
1,2,2,1,5
0,5,5,5,2
0,1,5,1,1
0,1,5,1,0
1,3,2,1,7
0,3,5,5,7
1,3,2,5,7
0,0,5,5,7
0,2,5,1,4
1,2,2,1,7
0,2,5,1,4
1,0,2,1,0
0,0,5,1,0
1,7,2,5,7
0,0,5,1,0
0,4,5,1,0
0,3,5,5,7
0,3,5,5,7
0,1,5,1,0
