member_0,member_1,member_2,member_3,member_4
1,5,5,5,4
1,3,0,7,4
1,2,1,7,3
1,3,7,4,4
1,2,4,7,4
1,2,1,6,5
5,1,0,7,5
1,2,3,7,4
1,2,0,7,5
1,3,3,5,5
1,3,2,6,5
1,6,4,5,4
1,2,4,7,4
1,5,3,7,4
1,2,2,6,4
1,2,0,7,3
5,7,3,6,5
1,3,1,6,5
1,2,2,7,4
1,2,3,5,4
1,3,0,6,5
1,2,0,7,3
1,7,2,6,5
1,3,3,5,5
1,2,0,7,4
5,5,3,6,5
1,5,4,6,4
0,3,0,7,5
1,4,5,4,4
1,2,0,7,4
1,2,0,7,4
1,3,2,6,5
1,4,3,6,5
1,2,0,7,4
1,3,0,6,5
1,2,3,7,5
1,4,7,4,4
0,0,0,7,5
1,2,2,6,4
1,2,1,7,4
1,3,3,4,4
0,0,0,7,4
1,4,5,6,4
1,2,0,7,3
1,3,2,6,5
1,2,4,7,4
1,2,4,7,3
1,2,0,7,4
1,4,4,6,4
1,2,4,7,4
1,3,0,7,4
1,4,0,5,4
1,3,0,6,5
0,4,0,7,5
1,4,4,4,4
1,3,3,6,4
1,3,0,7,5
1,5,0,7,4
1,7,3,4,5
0,2,0,7,5
1,2,0,7,4
1,2,0,7,4
1,3,1,7,4
1,3,1,6,5
1,2,3,6,5
1,7,3,6,5
1,2,7,7,4
1,2,0,7,3
1,2,0,7,4
1,2,5,7,4
0,7,0,7,4
1,5,3,6,5
1,6,0,6,4
1,5,3,5,4
1,1,0,6,4
1,4,7,5,4
1,2,1,7,5
1,5,3,5,5
1,2,4,7,4
1,4,6,5,4
1,2,0,7,4
0,2,0,7,4
5,3,4,6,4
1,2,0,7,3
1,2,3,6,5
0,3,0,7,3
1,3,0,7,5
1,3,1,6,5
1,2,0,7,4
1,2,4,7,4
0,4,0,7,5
0,4,0,7,5
1,2,0,7,5
5,7,3,7,4
1,2,0,7,4
1,3,0,7,4
1,3,3,6,5
1,6,4,6,4
1,3,0,7,4
1,2,7,7,4
1,2,1,7,3
