member_0,member_1,member_2,member_3,member_4
1,3,5,1,2
1,3,5,1,1
0,3,5,1,0
0,3,5,1,0
0,4,6,1,0
1,3,5,1,5
0,3,5,1,0
0,4,5,1,0
0,4,5,1,0
0,4,5,1,0
1,3,5,1,0
0,3,5,1,0
0,5,5,1,5
0,4,5,1,0
1,3,5,1,0
0,4,5,1,5
1,3,5,1,1
0,3,5,1,0
0,4,5,1,0
0,3,5,1,0
1,3,5,1,3
0,3,5,1,0
1,3,5,1,4
0,3,6,1,0
0,3,5,1,0
1,3,5,1,2
0,4,5,1,0
1,3,5,1,2
1,3,5,1,0
6,7,5,1,0
0,4,5,1,0
1,3,5,1,3
1,3,5,1,0
0,3,5,1,0
0,4,5,1,0
0,3,5,1,0
1,3,5,1,0
1,3,5,1,2
0,3,5,1,0
0,4,6,1,5
0,3,6,1,0
1,4,5,1,5
0,4,5,1,0
0,4,5,1,0
0,3,5,1,0
1,3,6,1,2
1,3,5,1,0
0,4,6,1,0
1,3,5,1,3
0,3,6,1,0
0,3,6,1,0
0,4,5,1,0
0,3,5,1,0
0,3,5,1,0
0,4,6,1,0
0,3,6,1,0
0,4,5,0,7
0,4,5,1,0
0,4,5,1,0
0,3,5,1,0
2,3,5,1,5
1,3,5,1,0
0,4,5,1,0
0,3,6,1,0
0,3,5,1,0
1,3,6,1,2
0,3,5,1,0
0,3,5,1,0
1,3,5,1,4
6,5,6,1,7
0,4,6,1,4
0,4,6,1,5
1,3,5,1,0
1,3,5,1,2
2,3,5,1,5
0,3,6,1,0
0,4,6,1,0
1,3,5,1,2
2,3,5,1,7
0,4,6,1,5
0,3,5,1,0
1,4,5,1,0
1,3,5,1,1
0,4,5,1,0
0,4,5,1,0
0,3,5,1,0
2,3,5,1,3
0,3,6,1,0
1,3,5,1,0
0,3,6,1,0
0,3,5,1,0
1,3,5,1,3
0,4,5,1,0
0,3,5,1,0
0,3,5,1,0
0,3,5,1,0
1,4,5,1,6
0,3,5,1,0
0,3,6,1,5
0,4,6,1,5
0,4,5,1,0
