member_0,member_1,member_2,member_3,member_4
0,0,5,0,1
6,1,4,5,1
0,0,5,0,0
0,0,5,0,1
0,0,5,0,0
0,1,3,0,1
0,0,5,0,0
5,1,3,7,1
0,0,4,7,0
5,1,4,7,2
7,1,4,7,1
5,1,4,5,1
0,0,3,0,1
7,1,5,5,1
5,1,4,5,1
7,1,6,5,1
0,0,4,0,1
5,1,2,5,2
5,1,2,7,1
0,0,5,0,0
0,1,5,0,1
5,1,5,5,1
0,0,3,0,1
0,0,3,0,1
4,1,4,7,1
5,1,4,7,1
5,1,4,7,1
0,0,3,5,0
5,1,4,5,1
0,0,5,0,1
5,1,4,7,1
0,0,2,0,1
7,1,4,7,1
7,0,4,7,1
5,1,0,5,1
5,1,5,5,1
0,1,2,5,1
5,1,0,5,1
0,1,5,0,1
0,1,2,0,1
7,1,4,7,1
5,1,4,5,1
0,1,5,0,1
5,1,3,7,1
0,0,3,0,1
0,0,4,7,1
5,1,3,5,1
7,1,4,5,1
0,0,4,7,0
7,1,4,7,1
0,0,3,0,1
5,1,0,5,1
5,1,0,7,1
0,0,2,0,1
5,1,2,5,1
5,1,5,5,1
5,1,7,5,1
5,1,4,5,1
7,1,4,7,1
0,0,5,0,1
5,1,3,7,1
5,1,4,5,1
5,1,3,7,1
7,0,4,7,1
7,1,7,5,1
7,1,2,5,1
5,1,4,7,1
0,1,5,0,1
5,1,4,7,1
0,0,5,0,0
0,0,5,0,0
5,1,4,7,1
5,1,5,5,1
5,1,4,5,1
5,1,4,7,1
7,1,4,7,1
0,0,4,7,1
5,1,4,7,1
5,1,4,7,1
7,1,4,7,1
7,1,4,7,1
7,1,1,5,1
0,0,2,0,1
7,1,4,7,1
7,1,7,5,1
0,0,1,0,0
0,0,5,0,1
0,0,5,0,1
5,1,4,5,1
0,1,7,0,1
0,0,3,0,1
0,0,2,0,1
0,0,5,0,1
0,1,5,0,1
5,1,3,5,1
0,0,3,5,1
0,0,2,0,0
0,0,2,0,1
5,1,4,7,1
5,1,5,5,1
0,0,3,0,1
