member_0,member_1,member_2,member_3,member_4
1,7,3,7,0
0,0,2,0,1
1,7,3,7,0
1,7,3,2,2
2,7,3,1,3
1,0,4,0,1
1,0,3,0,3
2,0,4,0,1
1,7,2,0,1
0,0,2,0,2
1,7,2,0,0
0,0,2,0,1
1,7,2,4,1
1,7,3,0,3
1,0,3,0,1
1,7,3,0,2
1,7,3,2,3
1,7,4,7,0
1,7,3,7,0
2,7,4,7,0
1,7,4,7,0
1,0,3,0,2
0,7,2,0,2
1,7,4,7,0
1,7,3,0,0
1,0,3,0,1
1,2,2,2,1
1,7,3,2,2
1,7,3,4,1
1,7,3,3,3
1,7,2,0,0
1,7,3,1,2
1,7,2,2,1
2,0,4,0,1
1,0,3,3,1
0,0,2,0,2
1,2,2,1,1
1,7,3,3,1
1,7,2,0,0
1,7,3,0,2
1,0,3,0,1
1,7,3,0,2
1,0,4,0,1
1,7,3,1,2
1,0,3,0,1
1,0,3,0,0
1,0,3,3,1
1,0,4,0,1
1,0,4,0,1
1,7,3,3,1
1,0,3,3,1
1,7,3,3,1
1,7,3,3,1
1,0,3,3,1
1,0,4,0,1
1,7,3,6,1
0,7,3,0,1
1,0,4,0,1
1,7,2,1,1
1,0,3,0,2
0,7,3,0,2
2,7,3,1,1
2,7,4,7,0
1,7,3,7,0
1,0,4,0,1
0,7,2,0,1
0,0,3,0,1
2,0,3,1,1
0,7,3,0,2
0,7,2,0,0
0,7,3,0,3
1,7,2,7,1
1,0,3,0,0
0,0,2,0,0
0,0,3,0,2
1,7,2,0,1
1,7,3,3,3
1,0,4,0,1
1,7,3,0,2
0,0,2,0,1
0,0,3,0,2
0,0,3,0,2
1,0,2,0,0
2,7,3,1,2
1,0,3,4,1
1,7,4,7,0
1,0,3,0,1
1,0,4,0,1
0,0,3,0,1
1,7,3,2,1
1,7,2,3,1
2,7,4,3,0
0,0,2,0,0
1,7,2,2,1
1,0,3,0,2
1,0,3,0,2
1,7,4,7,0
1,0,4,0,1
1,7,3,0,1
1,0,4,0,1
1,0,3,0,1
