member_0,member_1,member_2,member_3,member_4
1,4,7,1,0
1,4,7,2,1
0,4,7,1,0
1,4,7,2,2
1,4,7,2,2
0,4,7,1,0
1,4,7,2,2
0,3,7,1,0
0,3,7,1,0
0,4,7,1,0
1,3,7,2,2
1,5,7,1,0
2,4,4,2,2
0,4,7,1,0
0,3,7,1,0
0,3,7,1,0
0,3,7,1,0
1,4,7,2,2
0,3,7,1,0
1,3,7,2,2
0,4,7,1,0
0,4,7,1,0
1,3,7,2,2
0,3,7,1,0
1,4,7,1,0
1,4,7,1,0
1,4,6,2,2
0,3,7,1,0
0,3,7,1,0
0,4,7,1,0
0,3,7,1,0
1,5,4,1,0
0,4,1,1,0
0,3,7,1,0
1,3,7,2,1
1,3,7,2,2
0,4,7,1,0
1,4,7,2,1
1,4,6,2,2
0,4,3,0,0
0,4,4,1,0
1,3,7,2,2
1,4,7,1,0
0,3,7,1,0
1,3,7,2,2
0,3,7,1,0
1,5,2,1,0
0,4,7,1,0
1,4,7,1,0
0,3,7,2,1
0,5,7,1,0
1,4,7,2,2
0,4,7,1,0
0,4,7,1,0
2,3,7,2,3
0,5,7,1,0
1,3,7,2,2
0,3,7,1,0
7,4,7,1,0
1,4,6,2,3
1,4,7,1,0
1,4,7,2,2
1,4,7,1,1
1,4,7,2,2
0,3,7,1,0
0,3,7,1,0
1,5,7,2,1
0,4,7,1,0
1,4,7,2,2
1,5,7,1,0
0,5,7,1,0
0,3,7,1,0
0,3,7,1,0
0,3,7,1,0
1,3,7,2,2
1,4,7,2,2
0,3,0,1,0
1,4,7,2,3
0,3,7,1,0
0,4,2,1,0
0,3,7,1,0
1,4,7,2,2
1,4,7,2,2
1,4,7,2,2
1,3,7,2,2
0,4,5,1,0
0,3,7,1,0
1,3,7,2,2
0,4,7,1,0
0,4,2,1,0
0,3,7,1,0
0,4,7,1,0
1,4,7,2,2
1,4,7,2,2
0,5,7,1,0
0,4,7,1,0
0,5,6,1,0
1,4,2,1,0
1,5,7,1,0
0,3,7,0,3
0,4,2,1,0
