member_0,member_1,member_2,member_3,member_4
0,7,3,0,5
1,7,3,0,5
1,7,3,5,5
0,7,3,0,5
1,7,3,0,5
1,4,7,1,5
1,7,4,0,5
1,5,4,1,5
1,7,3,0,5
4,5,4,1,5
4,5,4,1,5
1,5,5,1,5
1,7,3,5,5
1,7,4,0,5
0,7,3,0,5
1,7,3,0,5
1,7,4,0,5
0,7,6,0,5
1,2,5,1,5
1,4,7,1,4
1,5,5,1,5
0,7,3,5,5
1,6,4,5,5
1,7,4,0,5
1,7,3,0,5
1,5,5,1,5
0,7,3,0,5
1,3,7,1,5
1,5,4,5,6
0,7,3,0,5
1,5,5,1,5
1,4,5,1,5
1,5,4,1,5
1,7,4,0,5
0,7,3,0,5
0,7,3,0,5
1,4,5,1,5
4,5,4,1,5
4,3,5,1,4
1,5,6,1,5
1,4,6,1,5
1,7,3,0,5
1,6,4,1,5
2,5,4,5,5
1,5,7,1,5
1,7,3,5,5
1,6,4,5,5
4,4,4,1,5
1,6,4,0,5
5,3,6,1,4
0,7,4,0,5
1,7,3,0,5
0,7,3,0,5
1,7,3,0,5
1,7,4,0,5
1,7,4,0,5
4,4,5,1,5
1,3,5,1,5
1,7,4,0,5
1,5,4,5,5
1,3,6,1,5
1,4,5,1,5
1,4,5,1,5
1,7,4,0,5
1,7,4,0,5
1,2,7,1,5
1,7,3,0,5
1,6,4,5,5
1,5,4,1,5
1,7,3,0,5
1,5,5,1,5
1,6,4,5,5
1,7,3,0,5
1,7,3,0,5
1,7,3,0,5
1,7,3,0,5
0,7,4,0,5
0,7,3,0,5
1,5,4,5,5
1,6,4,5,5
1,7,3,0,5
1,7,4,0,5
1,7,4,0,5
1,7,4,0,5
1,7,3,0,5
4,6,4,1,5
1,7,3,0,5
4,3,5,1,5
4,3,5,1,5
1,4,5,1,5
1,7,4,0,5
0,7,3,0,5
1,7,4,0,5
4,3,5,1,5
1,7,3,5,5
1,7,4,0,5
1,6,7,0,5
1,5,6,1,5
1,7,3,0,5
0,7,3,0,5
1,7,3,0,5
