member_0,member_1,member_2,member_3,member_4
0,0,7,5,4
1,0,0,5,4
1,1,0,2,6
0,0,7,5,4
1,0,0,5,6
1,1,0,2,6
1,1,0,5,6
1,0,7,5,4
1,2,0,5,4
1,0,0,5,4
1,0,7,5,4
1,1,0,5,6
1,0,7,3,4
1,1,7,5,6
0,0,7,5,4
1,0,0,5,4
1,0,0,3,6
1,0,0,3,4
1,0,3,5,6
1,0,7,5,4
1,1,0,5,6
1,0,7,3,4
1,1,0,5,6
1,1,7,2,6
1,1,7,5,4
1,0,0,3,4
1,0,7,5,4
1,0,0,3,4
1,1,7,2,6
1,0,3,5,6
1,1,0,5,6
1,1,7,5,4
1,1,0,5,6
1,1,0,5,6
1,0,7,5,4
0,0,7,5,4
1,0,0,5,6
0,0,0,5,6
1,1,0,2,6
0,0,7,5,4
1,0,0,3,4
1,0,0,5,4
1,0,2,5,6
1,1,7,2,6
1,1,7,5,6
1,0,1,5,6
1,0,7,5,6
1,0,0,5,4
1,1,0,2,6
1,1,7,5,6
0,0,0,5,4
1,1,7,5,6
0,0,7,3,4
1,0,7,5,4
1,1,0,3,4
1,1,0,5,6
1,0,0,5,6
1,0,0,3,4
1,0,0,5,4
1,0,7,5,6
0,0,7,5,4
2,1,7,5,6
1,0,7,5,6
1,0,0,4,4
1,7,0,5,6
1,0,0,5,6
1,0,7,5,4
1,0,2,5,6
1,0,0,5,4
1,0,0,5,4
1,1,0,5,6
0,0,7,3,4
1,1,0,5,6
1,1,0,2,6
1,3,0,5,6
1,0,7,5,4
0,0,7,5,4
0,0,7,5,4
1,0,0,5,4
1,1,0,5,6
1,7,0,5,6
0,0,7,5,4
1,0,0,5,4
1,2,0,3,6
1,0,0,5,6
1,0,0,5,6
1,1,7,5,6
1,0,0,3,4
0,0,7,5,4
1,0,0,3,4
1,1,4,5,6
1,1,0,5,6
1,0,7,5,4
1,1,7,5,6
1,0,0,5,6
1,0,7,5,4
1,0,0,3,4
1,0,7,5,4
1,1,0,5,6
0,0,7,3,4
1,0,0,5,4
